"id","sequence","standard","code","name","parent_id:id"
"fsc_category_w1","10","fsc_std_40_004a_v2_1","W1","Rough wood",""
"fsc_category_w1_1","20","fsc_std_40_004a_v2_1","W1.1","Roundwood (logs)","fsc_category_w1"
"fsc_category_w1_2","30","fsc_std_40_004a_v2_1","W1.2","Fuel wood","fsc_category_w1"
"fsc_category_w1_3","40","fsc_std_40_004a_v2_1","W1.3","Twigs","fsc_category_w1"
"fsc_category_w2","50","fsc_std_40_004a_v2_1","W2","Wood charcoal",""
"fsc_category_w3","60","fsc_std_40_004a_v2_1","W3","Wood in chips or particles",""
"fsc_category_w3_1","70","fsc_std_40_004a_v2_1","W3.1","Wood chips","fsc_category_w3"
"fsc_category_w3_2","80","fsc_std_40_004a_v2_1","W3.2","Sawdust","fsc_category_w3"
"fsc_category_w3_3","90","fsc_std_40_004a_v2_1","W3.3","Wood shavings","fsc_category_w3"
"fsc_category_w3_6","100","fsc_std_40_004a_v2_1","W3.6","Wood pellets","fsc_category_w3"
"fsc_category_w3_7","110","fsc_std_40_004a_v2_1","W3.7","Sawdust briquettes","fsc_category_w3"
"fsc_category_w4","120","fsc_std_40_004a_v2_1","W4","Impregnated/treated wood",""
"fsc_category_w4_1","130","fsc_std_40_004a_v2_1","W4.1","Impregnated roundwood","fsc_category_w4"
"fsc_category_w4_2","140","fsc_std_40_004a_v2_1","W4.2","Impregnated railway sleepers/ties","fsc_category_w4"
"fsc_category_w4_3","150","fsc_std_40_004a_v2_1","W4.3","Treated dimensional lumber, timber or plywood","fsc_category_w4"
"fsc_category_w4_3_1","160","fsc_std_40_004a_v2_1","W4.3.1","Treated glued laminated timber","fsc_category_w4_3"
"fsc_category_w4_3_2","170","fsc_std_40_004a_v2_1","W4.3.2","Treated finger jointed lumber","fsc_category_w4_3"
"fsc_category_w5","180","fsc_std_40_004a_v2_1","W5","Solid wood (sawn, chipped, sliced or peeled)",""
"fsc_category_w5_1","190","fsc_std_40_004a_v2_1","W5.1","Flitches and boules","fsc_category_w5"
"fsc_category_w5_2","200","fsc_std_40_004a_v2_1","W5.2","Solid wood boards","fsc_category_w5"
"fsc_category_w5_3","210","fsc_std_40_004a_v2_1","W5.3","Beams","fsc_category_w5"
"fsc_category_w5_5","220","fsc_std_40_004a_v2_1","W5.5","Poles and piles","fsc_category_w5"
"fsc_category_w5_6","230","fsc_std_40_004a_v2_1","W5.6","Railway sleepers/ties, not impregnated","fsc_category_w5"
"fsc_category_w5_7","240","fsc_std_40_004a_v2_1","W5.7","Raw wood for parquet flooring","fsc_category_w5"
"fsc_category_w6","250","fsc_std_40_004a_v2_1","W6","Products from planing mill",""
"fsc_category_w7","260","fsc_std_40_004a_v2_1","W7","Veneer",""
"fsc_category_w8","270","fsc_std_40_004a_v2_1","W8","Wood panels",""
"fsc_category_w8_2","280","fsc_std_40_004a_v2_1","W8.2","Particleboard","fsc_category_w8"
"fsc_category_w8_2_3","290","fsc_std_40_004a_v2_1","W8.2.3","Oriented Strand Board (OSB)","fsc_category_w8_2"
"fsc_category_w9","300","fsc_std_40_004a_v2_1","W9","Engineered wood products",""
"fsc_category_w10","310","fsc_std_40_004a_v2_1","W10","Wood package and similar",""
"fsc_category_w11","320","fsc_std_40_004a_v2_1","W11","Wood for construction",""
"fsc_category_w12","330","fsc_std_40_004a_v2_1","W12","Indoor furniture",""
"fsc_category_w13","340","fsc_std_40_004a_v2_1","W13","Outdoor furniture and gardening",""
"fsc_category_w13_5","350","fsc_std_40_004a_v2_1","W13.5","Decking and garden sleepers","fsc_category_w13"
"fsc_category_w18","360","fsc_std_40_004a_v2_1","W18","Other manufactured wood products",""
"fsc_category_p1","370","fsc_std_40_004a_v2_1","P1","Pulp",""
"fsc_category_p1_1","380","fsc_std_40_004a_v2_1","P1.1","Mechanical pulp, bleached","fsc_category_p1"
"fsc_category_p1_1_1","390","fsc_std_40_004a_v2_1","P1.1.1","Groundwood","fsc_category_p1_1"
"fsc_category_p1_1_2","400","fsc_std_40_004a_v2_1","P1.1.2","Refiner pulp","fsc_category_p1_1"
"fsc_category_p1_2","410","fsc_std_40_004a_v2_1","P1.2","Mechanical pulp, unbleached","fsc_category_p1"
"fsc_category_p1_2_1","420","fsc_std_40_004a_v2_1","P1.2.1","Groundwood","fsc_category_p1_2"
"fsc_category_p1_2_2","430","fsc_std_40_004a_v2_1","P1.2.2","Refiner pulp","fsc_category_p1_2"
"fsc_category_p1_3","440","fsc_std_40_004a_v2_1","P1.3","Chemical pulp, bleached","fsc_category_p1"
"fsc_category_p2","450","fsc_std_40_004a_v2_1","P2","Paper",""
"fsc_category_p3","460","fsc_std_40_004a_v2_1","P3","Paperboard",""
"fsc_category_p4","470","fsc_std_40_004a_v2_1","P4","Corrugated paper and paperboard",""
"fsc_category_p5","480","fsc_std_40_004a_v2_1","P5","Packaging and wrappings of paper",""
"fsc_category_p5_1","490","fsc_std_40_004a_v2_1","P5.1","Cardboard packaging","fsc_category_p5"
"fsc_category_p5_2","500","fsc_std_40_004a_v2_1","P5.2","Corrugated paper packaging","fsc_category_p5"
"fsc_category_p6","510","fsc_std_40_004a_v2_1","P6","Household and sanitary pulp and paper products",""
"fsc_category_p7","520","fsc_std_40_004a_v2_1","P7","Stationery of paper (printed and unprinted)",""
"fsc_category_p8","530","fsc_std_40_004a_v2_1","P8","Printed materials",""
"fsc_category_p8_2","540","fsc_std_40_004a_v2_1","P8.2","Magazines","fsc_category_p8"
"fsc_category_p9","550","fsc_std_40_004a_v2_1","P9","Bobbins, spools, rolls and similar",""
"fsc_category_p10","560","fsc_std_40_004a_v2_1","P10","Other pulp and paper products n.e.c.",""
"fsc_category_n1","570","fsc_std_40_004a_v2_1","N1","Barks",""
"fsc_category_n2","580","fsc_std_40_004a_v2_1","N2","Soil conditioner and substrates for plants",""
"fsc_category_n3","590","fsc_std_40_004a_v2_1","N3","Cork and articles of cork",""
"fsc_category_n4","600","fsc_std_40_004a_v2_1","N4","Straw, wicker, rattan and similar",""
"fsc_category_n5","610","fsc_std_40_004a_v2_1","N5","Bamboo and articles of bamboo",""
"fsc_category_n6","620","fsc_std_40_004a_v2_1","N6","Plants and parts of plants",""
"fsc_category_n6_3","630","fsc_std_40_004a_v2_1","N6.3","Whole trees or plants","fsc_category_n6"
"fsc_category_n6_3_1","640","fsc_std_40_004a_v2_1","N6.3.1","Christmas trees","fsc_category_n6_3"
"fsc_category_n7","650","fsc_std_40_004a_v2_1","N7","Natural gums, resins, oils and derivatives",""
"fsc_category_n8","660","fsc_std_40_004a_v2_1","N8","Chemical, medicinal and cosmetic products",""
"fsc_category_n9","670","fsc_std_40_004a_v2_1","N9","Food",""
"fsc_category_n9_4","680","fsc_std_40_004a_v2_1","N9.4","Mushrooms, truffles","fsc_category_n9"
"fsc_category_n9_8","690","fsc_std_40_004a_v2_1","N9.8","Honey","fsc_category_n9"
"fsc_category_n10","730","fsc_std_40_004a_v2_1","N10","Other non-timber forest products n.e.c.",""
